0,1,2,3,4,District
48,Dhamrai,Dhamrai UPO, ,1350,ঢাকা পোস্ট কোড
 ,Dhamrai,Balia, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Amta, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Dimukha, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Kalampur, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Barigaon, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Toperbari, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Suapur, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Deldha, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Shoilain, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Jadabpur, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Berosh, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Bannal, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Mangalbari, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Nannar, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Jalsin, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Rowail, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Kathaliya Nabogram, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Sanora, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Nowga Bazar, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Gangutiya, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Jalsha, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Sahabelishwar, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Chowhatto, , ,ঢাকা পোস্ট কোড
 ,Dhamrai,Rajapur, , ,ঢাকা পোস্ট কোড
49,Dhamrai,Kalampur EDSO, ,1351,ঢাকা পোস্ট কোড
50,Demra,Demra UPO, ,1360,ঢাকা পোস্ট কোড
 ,Demra,Purbagram, , ,ঢাকা পোস্ট কোড
 ,Demra,Tarab, , ,ঢাকা পোস্ট কোড
 ,Demra,Jatramura, , ,ঢাকা পোস্ট কোড
 ,Demra,Paradgair, , ,ঢাকা পোস্ট কোড
51,Demra,Sarulia SO, ,1361,ঢাকা পোস্ট কোড
 ,Demra,Sanarpar, , ,ঢাকা পোস্ট কোড
52,Kodomtoli,Kodomtoli UPO, ,1362,ঢাকা পোস্ট কোড
 ,Kodomtoli,Matuail SO, , ,ঢাকা পোস্ট কোড
 ,Kodomtoli,Tushardhara, , ,ঢাকা পোস্ট কোড
 ,Kodomtoli,Merajnagar, , ,ঢাকা পোস্ট কোড
 ,Kodomtoli,Habibnagar, , ,ঢাকা পোস্ট কোড
1,Sadar,Narayangonj HO, ,1400,নারায়নগঞ্জ পোস্ট কোড 
 ,Sadar,Barabo, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sadar,Madanpur, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sadar,Lakkhankhola, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sadar,Sabdibazar, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sadar,Mogolergaon, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sadar,Hosenpur, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sadar,Barpara, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sadar,Monarbari, , ,নারায়নগঞ্জ পোস্ট কোড 
2,Bandar,Bandar UPO, ,1410,নারায়নগঞ্জ পোস্ট কোড 
 ,Bandar,Nabiganj, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Bandar,Puran Bandar, , ,নারায়নগঞ্জ পোস্ট কোড 
3,Bandar,DC Mills SO, ,1411,নারায়নগঞ্জ পোস্ট কোড 
4,Bandar,Nabigonj EDSO, ,1412,নারায়নগঞ্জ পোস্ট কোড 
5,Bandar,BIDC SO, ,1413,নারায়নগঞ্জ পোস্ট কোড 
6,Bandar,Madangonj SO, ,1414,নারায়নগঞ্জ পোস্ট কোড 
7,Fatulla,Fatulla UPO, ,1420,নারায়নগঞ্জ পোস্ট কোড 
 ,Fatulla,Jalkuri, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Fatulla,Vuighar, , ,নারায়নগঞ্জ পোস্ট কোড 
8,Fatulla,Fatulla Bazar SO, ,1421,নারায়নগঞ্জ পোস্ট কোড 
 ,Fatulla,Dapa Idrikpur, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Fatulla,Kutubpur, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Fatulla,Anayetnagar, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Fatulla,Char Baktabali, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Fatulla,Alirtek, , ,নারায়নগঞ্জ পোস্ট কোড 
9,Siddirgonj,Siddirgonj Power Station UPO, ,1430,নারায়নগঞ্জ পোস্ট কোড 
 ,Siddirgonj,Kachpur, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Siddirgonj,Mizmizi, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Siddirgonj,Siddirgonj Bazar, , ,নারায়নগঞ্জ পোস্ট কোড 
10,Siddirgonj,Adamjeenagar SO, ,1431,নারায়নগঞ্জ পোস্ট কোড 
11,Siddirgonj,LN Mills SO, ,1432,নারায়নগঞ্জ পোস্ট কোড 
12,Sonargaon,Sonargaon UPO, ,1440,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Baronagar, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Bardi, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Highshadi, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Lakshibardi, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Dhandi Bazar, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Saheb Bazar, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Bangla Bazar, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Ananda Bazar, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Samomandi, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Aminpur, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,New Town, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Alipura, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Nayanabad, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Mohajampur, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Sonargaon,Kasem Nagar, , ,নারায়নগঞ্জ পোস্ট কোড 
13,Sonargaon,Bara Nagar EDSO, ,1441,নারায়নগঞ্জ পোস্ট কোড 
14,Sonargaon,Bradi SO, ,1442,নারায়নগঞ্জ পোস্ট কোড 
15,Arhaihazar,Arhaihazar UPO, ,1450,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Kala Paharia, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Hamshadi, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Dhuptara, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Pachrukhi, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Sultansadi, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Chaitonnokanda, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Sombupura, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Fausha, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Sreenibasdi, , ,নারায়নগঞ্জ পোস্ট কোড 
16,Arhaihazar,Gopadi SO, ,1451,নারায়নগঞ্জ পোস্ট কোড 
 ,Arhaihazar,Chardigaldi, , ,নারায়নগঞ্জ পোস্ট কোড 
17,Rupgonj,Rupgonj UPO, ,1460,নারায়নগঞ্জ পোস্ট কোড 
 ,Rupgonj,Vulta, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Rupgonj,Perabo, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Rupgonj,Baliapara, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Rupgonj,Nagarpara, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Rupgonj,Parshinagar, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Rupgonj,Masumabad, , ,নারায়নগঞ্জ পোস্ট কোড 
 ,Rupgonj,Gobindapur, , ,নারায়নগঞ্জ পোস্ট কোড 
18,Rupgonj,Kanchen SO, ,1461,নারায়নগঞ্জ পোস্ট কোড 
 ,Rupgonj,Brahammonkhali, , ,নারায়নগঞ্জ পোস্ট কোড 
19,Rupgonj,Bhulta SO, ,1462,নারায়নগঞ্জ পোস্ট কোড 
20,Rupgonj,Nagari EDSO, ,1463,নারায়নগঞ্জ পোস্ট কোড 
